,title,linkJobs,jobType,proposals,skillset,budget
49,Testing python API,https://www.upwork.com/jobs/Testing-python-API_~01875b49bee747c2aa/,Fixed-price,10 to 15,"['Python', 'API Development', 'API Testing', 'Unit Testing', 'Postman']","
        $20
      "
50,FInish python bot,https://www.upwork.com/jobs/FInish-python-bot_~01e55be45fb845ff34/,Fixed-price,5 to 10,"['Automation', 'Selenium', 'Python', 'Data Scraping', 'Python Script', 'Bot Development']","
        $200
      "
51,Python Script fix ,https://www.upwork.com/jobs/Python-Script-fix_~012610cee232b52e2d/,Fixed-price,5 to 10,"['Automation', 'Selenium', 'Python', 'Scripting']","
        $100
      "
52,Fix my python script (web mouse movement and click macro uses background threads and proxies,https://www.upwork.com/jobs/Fix-python-script-web-mouse-movement-and-click-macro-uses-background-threads-and-proxies_~012d74a689224cf118/,Fixed-price,Less than 5,"['Automation', 'Selenium', 'Python']","
        $20
      "
53,Selenium/Python Finish code for automation social media bot,https://www.upwork.com/jobs/span-Selenium-span-Python-Finish-code-for-span-automation-span-social-media-bot_~01531cdfbb619622d5/,Fixed-price,10 to 15,"['Automation', 'Selenium', 'Python', 'Bot Development', 'Scripting', 'Data Extraction', 'Web Crawling', 'GUI Design']","
        $200
      "
54,Selenium Automation Builder,https://www.upwork.com/jobs/span-Selenium-span-span-Automation-span-Builder_~01c3183058e4737265/,Hourly,20 to 50,"['Selenium', 'Selenium WebDriver', 'Automation', 'Automated Testing']",$15-$30
55,Web scraping expert required to scrape three URLs (Python and PySpark),https://www.upwork.com/jobs/Web-scraping-expert-required-scrape-three-URLs-Python-and-PySpark_~012e703ff3671fd27b/,Hourly,20 to 50,"['Selenium', 'Web Scraping', 'Beautiful Soup', 'Data Scraping', 'Python', 'Data Extraction', 'Data Mining', 'Scrapy', 'PySpark']",$5-$25
56,Intermediate SpecFlow Selenium Automation Developer Required for a .Net environment (No Agency),https://www.upwork.com/jobs/Intermediate-SpecFlow-span-Selenium-span-span-Automation-span-Developer-Required-for-Net-environment-Agency_~01508c6797c929500a/,Hourly,10 to 15,"['Selenium', 'SpecFlow', 'C#']",$5-$45
57,Mobile automation expert,https://www.upwork.com/jobs/Mobile-span-automation-span-expert_~0102325ceb570b65d5/,Fixed-price,5 to 10,"['Selenium', 'Selenium WebDriver', 'Web Development', 'Android App Development', 'Appium', 'CMS Development']","
        $2,500
      "
58,Web scraping,https://www.upwork.com/jobs/Web-scraping_~0112c47e3b3cc58ef3/,Hourly,20 to 50,"['Automation', 'Data Scraping', 'Python', 'Data Mining', 'Data Extraction']",$30-$45
59,Testing python API,https://www.upwork.com/jobs/Testing-python-API_~01875b49bee747c2aa/,Fixed-price,10 to 15,"['Python', 'API Development', 'API Testing', 'Unit Testing', 'Postman']","
        $20
      "
60,Selenium QA,https://www.upwork.com/jobs/span-Selenium-span_~0134c9f404ba6b26e7/,Fixed-price,50+,"['Selenium', 'Automated Testing', 'Software QA']","
        $200
      "
61,Need support in UI automation using Selenium,https://www.upwork.com/jobs/Need-support-span-automation-span-using-span-Selenium-span_~017368c7dbff72febf/,Hourly,20 to 50,"['Selenium', 'C#']",$8-$15
62,"QA Automation -CI/CD Jmeter, Selenium, PHP Unit and Manual Testing",https://www.upwork.com/jobs/span-Automation-span-Jmeter-span-Selenium-span-PHP-Unit-and-Manual-Testing_~013441728de40c209c/,Hourly,50+,"['Selenium', 'Regression Testing', 'Apache JMeter', 'Bug Tracking & Reports', 'CI/CD', 'Automated Testing', 'Web Testing', 'PHPUnit', 'Manual Testing']",$15-$22
63,Data Scraping,https://www.upwork.com/jobs/Data-Scraping_~012368279a1e770e47/,Fixed-price,10 to 15,"['Browser Automation', 'Selenium', 'Beautiful Soup', 'Microsoft Excel', 'Python', 'Data Extraction', 'Data Scraping', 'Web Crawling', 'Data Mining', 'Data Entry']","
        $125
      "
64,SpecFlow Automation Developer Required for a website (No Agency),https://www.upwork.com/jobs/SpecFlow-span-Automation-span-Developer-Required-for-website-Agency_~019d58d4327207fb5b/,Hourly,5 to 10,"['Selenium', 'SpecFlow']",$5-$15
65,Python Developer who can implement Multiprocessing and a GUI,https://www.upwork.com/jobs/Python-Developer-who-can-implement-Multiprocessing-and-GUI_~01bac521b8afdec819/,Fixed-price,10 to 15,"['Selenium', 'Selenium WebDriver', 'Automation', 'Scrapy', 'Web Application', 'Python', 'API', 'Django']","
        $200
      "
66,QA Test and Automation ,https://www.upwork.com/jobs/Test-and-span-Automation-span_~0111c3a4c8da4d2dba/,Hourly,20 to 50,"['Test Automation Framework', 'Selenium', 'Automated Testing', 'API Testing', 'Regression Test Script', 'Test Design', 'Performance Testing', 'Appium', 'Integration Testing']",$22-$33
67,One Selenium Question,https://www.upwork.com/jobs/One-span-Selenium-span-Question_~01abdae622d51d29f8/,Hourly,10 to 15,"['Selenium', 'Automation', 'Selenium WebDriver', 'SQL', 'Data Scraping', 'Python', 'API Integration', 'Data Extraction', 'Web Scraping', 'Data Entry', 'Python Script', 'Web Crawler', 'API', 'Web Crawling']",unknown
68,Remote part time corporate IT trainer,https://www.upwork.com/jobs/Remote-part-time-corporate-trainer_~0113eb18d9e6248318/,Fixed-price,Less than 5,['Training'],"
        $300
      "
69,Automatic clicks to book ,https://www.upwork.com/jobs/Automatic-clicks-book_~01c11dcd4a5ad56e22/,Fixed-price,10 to 15,"['Automation', 'Selenium', 'Python', 'Zapier', 'Java']","
        $20
      "
70,Looking for RPA developer,https://www.upwork.com/jobs/Looking-for-RPA-developer_~01cc9cd8801ad10388/,Hourly,20 to 50,"['Robotic Process Automation', 'Automation', 'Selenium', 'UiPath', 'Python', 'API']",$15-$20
71,Twitter Bot for Personal Profile,https://www.upwork.com/jobs/Twitter-Bot-for-Personal-Profile_~016b3357d82d648d26/,Hourly,10 to 15,"['Automation', 'Selenium WebDriver', 'Data Scraping', 'PostgreSQL', 'Twitter', 'Twitter API', 'JavaScript', 'Python', 'RESTful API', 'Node.js', 'API Integration', 'Telegram API', 'API', 'ExpressJS', 'Bot Development']",unknown
72,QA Automation engineer,https://www.upwork.com/jobs/span-Automation-span-engineer_~019aa849e58563ab94/,Hourly,50+,"['Test Automation Framework', 'QA Engineering', 'Bug Tracking & Reports', 'Quality Control', 'Release Notes', 'MongoDB', 'Business with 10-99 Employees', 'Automated Testing', 'Software QA']",$22-$33
73,Finish code for automation social media bot,https://www.upwork.com/jobs/Finish-code-for-span-automation-span-social-media-bot_~015e055226dbd72f96/,Fixed-price,10 to 15,"['Automation', 'Selenium', 'Python', 'Bot Development', 'Java', 'API', 'Scripting', 'API Development', 'Data Extraction', 'Web Crawling']","
        $200
      "
74,I need a Python Developer,https://www.upwork.com/jobs/need-Python-Developer_~01764ae4150b770273/,Fixed-price,20 to 50,"['API Integration', 'Data Extraction', 'Data Mining', 'Dashboard', 'Web Crawling', 'Beautiful Soup', 'Python', 'Web Development', 'Python Script', 'API']","
        $500
      "
75,Automated trading bot based of alerts ðŸš¨ ,https://www.upwork.com/jobs/span-Automated-span-trading-bot-based-alerts_~01b1b09941022f7a60/,Hourly,15 to 20,"['Selenium', 'Automation', 'Trading Automation', 'Data Mining', 'Financial Trading', 'Data Scraping', 'Scripting', 'Ethereum', 'Web Crawling', 'API', 'Blockchain', 'SQL', 'Python']",unknown
76,Sr. QA Automation Engineer ,https://www.upwork.com/jobs/span-Automation-span-Engineer_~01703daa2daf5cf709/,Hourly,20 to 50,"['Java', 'WebdriverIO', 'TestNG', 'Automated Testing', 'Postman', 'API Testing', 'Manual Testing', 'CI/CD', 'Regression Testing', 'Security Testing', 'GitHub', 'CircleCI', 'Web Testing', 'Cypress']",unknown
77,Python automation tool,https://www.upwork.com/jobs/Python-span-automation-span-tool_~01b8a5c42fef381c46/,Fixed-price,10 to 15,"['Automation', 'Selenium', 'Python', 'API', 'Python Script', 'API Development', 'Data Scraping']","
        $25
      "
78,Use a python bittorent library to test tracker,https://www.upwork.com/jobs/Use-python-bittorent-library-test-tracker_~01443f5bd2c6d68c09/,Fixed-price,Less than 5,"['Automation', 'Python', 'Linux']","
        $10
      "
79,Google Sites to Sharepoint migration,https://www.upwork.com/jobs/Google-Sites-Sharepoint-migration_~0103498af9953f76b8/,Fixed-price,15 to 20,"['Selenium', 'Web Crawling', 'Scripting', 'Office 365', 'Microsoft SharePoint Administration', 'Microsoft Sharepoint', 'Google Sites', 'Google Sites API']","
        $1,000
      "
80,Web Scraping Website,https://www.upwork.com/jobs/Web-Scraping-Website_~01b3e36c3310fc314c/,Hourly,5 to 10,"['Browser Automation', 'Selenium', 'Beautiful Soup', 'Microsoft Excel', 'Python', 'Data Extraction', 'Data Scraping', 'Web Crawling', 'Data Mining', 'Data Entry']",unknown
81,Mobile and Web tester ( senor data over BT to mobile - data converted sent to Azure webapp),https://www.upwork.com/jobs/Mobile-and-Web-tester-senor-data-over-mobile-data-converted-sent-Azure-webapp_~01b3fad66c2bf74c6f/,Hourly,15 to 20,"['Automation', 'Selenium', 'Software QA', 'Performance Testing', 'Game Testing', 'Cross-Browser Testing', 'UX & UI', 'Usability Testing', 'QA Engineering', 'Python', 'Web Testing', 'Load Testing']",unknown
82,Automating RPA Python Windows,https://www.upwork.com/jobs/span-Automating-span-RPA-Python-Windows_~01a875a3ee7383fdbe/,Hourly,Less than 5,"['Automation', 'Selenium', 'Robotic Process Automation', 'Test Automation Framework', 'Python', 'UiPath', 'Data Scraping', 'Scripting']",$32-$70
83,QA Test,https://www.upwork.com/jobs/Test_~016d63026e2c4315ec/,Hourly,5 to 10,"['Selenium', 'QA Management', 'Software QA', 'Quality Assurance', 'QA Software & Testing Tools', 'QA Testing', 'Bug Reports', 'End-to-End Testing', 'Regression Testing', 'Smoke Testing', 'Integration Testing', 'Automated Testing', 'Game Testing', 'Test Plan', 'Test Results & Analysis']",unknown
84,[URGENT] Need GUI for a Python Script,https://www.upwork.com/jobs/URGENT-Need-GUI-for-Python-Script_~019c6e3761432b425e/,Fixed-price,20 to 50,"['Automation', 'Selenium', 'UI/UX Prototyping', 'Python', 'Data Scraping', 'Django']","
        $100
      "
85,Consulting / Advisor role  for UiPath to build Automation,https://www.upwork.com/jobs/Consulting-Advisor-role-for-UiPath-build-span-Automation-span_~01f115e25bfe04e3ab/,Hourly,20 to 50,"['Microsoft Power Automate', 'Selenium WebDriver', 'Business Process Automation', 'Automation', 'Python', 'UiPath', 'Data Extraction', 'Python Script', 'Data Scraping', 'Bot Development', 'Robotic Process Automation', 'Automated Testing', 'Selenium', 'Web Testing']",unknown
86,Chrome Browser Bot Developer for LinkedIn Sales Navigator [IOS] | One-click bot ,https://www.upwork.com/jobs/Chrome-Browser-Bot-Developer-for-LinkedIn-Sales-Navigator-IOS-One-click-bot_~01f83e64a7e96e8f0e/,Fixed-price,5 to 10,"['Automation', 'Selenium', 'Data Scraping']","
        $70
      "
87,reCaptcha solver,https://www.upwork.com/jobs/reCaptcha-solver_~0182e1584b19389513/,Fixed-price,15 to 20,"['Selenium', 'Python']","
        $150
      "
88,Automate pinescript strategy,https://www.upwork.com/jobs/span-Automate-span-pinescript-strategy_~018a8823daf2d8c269/,Hourly,20 to 50,"['Trading Automation', 'Browser Automation', 'Selenium', 'Automation', 'Cryptocurrency', 'Telegram API', 'Trading Strategy', 'Discord Bot Development', 'Telegram', 'Bot Development', 'Strategy', 'Python Script', 'Scripting', 'Python']",unknown
89,Python Selenium Browser automation with Nested Loops,https://www.upwork.com/jobs/Python-span-Selenium-span-Browser-span-automation-span-with-Nested-Loops_~0120d3f6fddcb546bb/,Hourly,15 to 20,"['Python', 'Android', 'Web Design']",unknown
90,Make automation bot for Truth Social,https://www.upwork.com/jobs/Make-span-automation-span-bot-for-Truth-Social_~018d2d368fb058573d/,Fixed-price,Less than 5,"['Selenium', 'Bot Development', 'Python', 'API']","
        $500
      "
91,Hiring Selenium QA Engineers with Python Expertise,https://www.upwork.com/jobs/Hiring-span-Selenium-span-Engineers-with-Python-Expertise_~013fb8ac6beeb386c7/,Hourly,10 to 15,"['Selenium', 'Selenium WebDriver', 'Test Automation Framework', 'Python', 'Automated Testing', 'Software Testing', 'Software QA', 'Web Testing']",unknown
92,Need a NodeJS / Selenium webscrapper ,https://www.upwork.com/jobs/Need-NodeJS-span-Selenium-span-webscrapper_~01631b8de5eab77ae9/,Fixed-price,5 to 10,"['Selenium', 'Selenium WebDriver', 'Node.js', 'JavaScript', 'Data Scraping']","
        $50
      "
93,"Machine Learning professional required for a Healthcare Automation Project (PyPDF2, Selenium, NLP)",https://www.upwork.com/jobs/Machine-Learning-professional-required-for-Healthcare-span-Automation-span-Project-PyPDF2-span-Selenium-span-NLP_~01ade7c40fab6dc1c2/,Fixed-price,10 to 15,"['Selenium', 'Python', 'Machine Learning', 'Natural Language Processing', 'Artificial Intelligence']","
        $100
      "
94,Selenium undetected chrome expert needed python,https://www.upwork.com/jobs/span-Selenium-span-undetected-chrome-expert-needed-python_~011f47ed79dd58d56d/,Fixed-price,5 to 10,"['Selenium', 'Automation', 'Data Scraping', 'Bot Development', 'Web Crawling']","
        $500
      "
95,Build a bot on a website to click few buttons if certain conditions are met,https://www.upwork.com/jobs/Build-bot-website-click-few-buttons-certain-conditions-are-met_~01c1b38a27fc150e9b/,Fixed-price,20 to 50,"['Automation', 'Selenium', 'Scripting', 'Web Crawling', 'Beautiful Soup', 'Python', 'HTML', 'HTML5']","
        $150
      "
96,Twilio expert to send 300k phone messages,https://www.upwork.com/jobs/Twilio-expert-send-300k-phone-messages_~0131432a5244a84e0c/,Hourly,15 to 20,"['Selenium', 'Beautiful Soup', 'Scrapy', 'Twilio API', 'SMS', 'Lead Generation']",unknown
97,PHP and Wordpress plug-in expert needed,https://www.upwork.com/jobs/PHP-and-Wordpress-plug-expert-needed_~016b4ad1442b13f6df/,Hourly,Less than 5,"['Automation', 'Selenium', 'WordPress', 'Bot Development', 'Web Crawling', 'HTML', 'Data Extraction', 'API', 'Python', 'Data Scraping', 'PHP', 'Golang', 'Beautiful Soup', 'JavaScript']",$10-$15
98,Create an automated python selenium script to run a webpage,https://www.upwork.com/jobs/Create-span-automated-span-python-span-selenium-span-script-run-webpage_~01dbb4705b676a8c70/,Fixed-price,10 to 15,"['Selenium', 'Automation', 'Selenium WebDriver', 'Python', 'Data Scraping']","
        $200
      "
99,QA Engineer,https://www.upwork.com/jobs/Engineer_~010a66bc8772cb4298/,Hourly,20 to 50,"['Cypress', 'JavaScript', 'TypeScript']",$6-$8
